category,date,sales
Cafe Beverages,2021-01-21 21:00:00,4850.22
Cafe Beverages,2021-01-21 22:00:00,1755.73
Cafe Beverages,2021-01-21 23:00:00,488.29
Cafe Beverages,2021-01-22 0:00:00,419.36
Cafe Beverages,2021-01-22 2:00:00,218.9
Cafe Beverages,2021-01-22 3:00:00,236.95
Cafe Beverages,2021-01-22 4:00:00,460.75
Cafe Beverages,2021-01-22 5:00:00,119
Cafe Beverages,2021-01-22 6:00:00,597.14
Cafe Beverages,2021-01-22 8:00:00,660.12
Cafe Beverages,2021-01-22 9:00:00,1294.17
Cafe Beverages,2021-01-22 10:00:00,4363.42
Cafe Beverages,2021-01-22 11:00:00,7279.49
Cafe Beverages,2021-01-22 12:00:00,9664.6
Cafe Beverages,2021-01-22 13:00:00,14022.93
Cafe Beverages,2021-01-22 14:00:00,14911.65
Cafe Beverages,2021-01-22 15:00:00,13064.08
Cafe Beverages,2021-01-22 16:00:00,14468.98
Cafe Beverages,2021-01-22 17:00:00,16608.19
Cafe Beverages,2021-01-22 18:00:00,15094.82
Cafe Beverages,2021-01-22 19:00:00,8299.41
Cafe Beverages,2021-01-22 20:00:00,8514.3
Cafe Beverages,2021-01-22 21:00:00,5310.27
Cafe Beverages,2021-01-22 22:00:00,2953.25
Cafe Beverages,2021-01-22 23:00:00,535.36
Cafe Beverages,2021-01-23 0:00:00,854.46
Cafe Beverages,2021-01-23 2:00:00,119
Cafe Beverages,2021-01-23 4:00:00,238
Cafe Beverages,2021-01-23 5:00:00,463.95
Cafe Beverages,2021-01-23 6:00:00,119
Cafe Beverages,2021-01-23 7:00:00,119
Cafe Beverages,2021-01-23 8:00:00,1497.88
Cafe Beverages,2021-01-23 9:00:00,3169.95
Cafe Beverages,2021-01-23 10:00:00,7130.08
Cafe Beverages,2021-01-23 11:00:00,7723.82
Cafe Beverages,2021-01-23 12:00:00,10082.57
Cafe Beverages,2021-01-23 13:00:00,14427.15
Cafe Beverages,2021-01-23 14:00:00,15446.56
Cafe Beverages,2021-01-23 15:00:00,17115.05
Cafe Beverages,2021-01-23 16:00:00,17984.49
Cafe Beverages,2021-01-23 17:00:00,19057.38
Cafe Beverages,2021-01-23 18:00:00,15950.56
Cafe Beverages,2021-01-23 19:00:00,16132.94
Cafe Beverages,2021-01-23 20:00:00,11146.89
Cafe Beverages,2021-01-23 21:00:00,5349.33
Cafe Beverages,2021-01-23 22:00:00,3818.9
Cafe Beverages,2021-01-23 23:00:00,371.42
Cafe Beverages,2021-01-24 0:00:00,297.91
Cafe Beverages,2021-01-24 1:00:00,85.78
Cafe Beverages,2021-01-24 4:00:00,476
Cafe Beverages,2021-01-24 5:00:00,119
Cafe Beverages,2021-01-24 6:00:00,112.33
Cafe Beverages,2021-01-24 7:00:00,1190
Cafe Beverages,2021-01-24 8:00:00,1313.07
Cafe Beverages,2021-01-24 9:00:00,3821.95
Cafe Beverages,2021-01-24 10:00:00,4134.06
Cafe Beverages,2021-01-24 11:00:00,7049.49
Cafe Beverages,2021-01-24 12:00:00,15511.33
Cafe Beverages,2021-01-24 13:00:00,15340.12
Cafe Beverages,2021-01-24 14:00:00,25728.55
Cafe Beverages,2021-01-24 15:00:00,22642.34
Cafe Beverages,2021-01-24 16:00:00,22588.08
Cafe Beverages,2021-01-24 17:00:00,20755.42
Cafe Beverages,2021-01-24 18:00:00,21703.07
Cafe Beverages,2021-01-24 19:00:00,16699.61
Cafe Beverages,2021-01-24 20:00:00,11233.84
Cafe Beverages,2021-01-24 21:00:00,7043.5
Cafe Beverages,2021-01-24 22:00:00,2576.06
Cafe Beverages,2021-01-24 23:00:00,654.37
Cafe Beverages,2021-01-25 0:00:00,119
Cafe Beverages,2021-01-25 1:00:00,119
Cafe Beverages,2021-01-25 2:00:00,92.06
Cafe Beverages,2021-01-25 3:00:00,119
Cafe Beverages,2021-01-25 5:00:00,330.69
Cafe Beverages,2021-01-25 6:00:00,476
Cafe Beverages,2021-01-25 7:00:00,595
Cafe Beverages,2021-01-25 8:00:00,863.03
Cafe Beverages,2021-01-25 9:00:00,940.6
Cafe Beverages,2021-01-25 10:00:00,3584.19
Cafe Beverages,2021-01-25 11:00:00,6416.43
Cafe Beverages,2021-01-25 12:00:00,8078.16
Cafe Beverages,2021-01-25 13:00:00,10592.88
Cafe Beverages,2021-01-25 14:00:00,10945.27
Cafe Beverages,2021-01-25 15:00:00,12200.92
Cafe Beverages,2021-01-25 16:00:00,13307.9
Cafe Beverages,2021-01-25 17:00:00,12995.52
Cafe Beverages,2021-01-25 18:00:00,13177.12
Cafe Beverages,2021-01-25 19:00:00,8694.47
Cafe Beverages,2021-01-25 20:00:00,8111.23
Cafe Beverages,2021-01-25 21:00:00,5555.47
Cafe Beverages,2021-01-25 22:00:00,2208.12
Cafe Beverages,2021-01-25 23:00:00,689.78
Cafe Beverages,2021-01-26 0:00:00,240.23
Cafe Beverages,2021-01-26 4:00:00,119
Cafe Beverages,2021-01-26 5:00:00,357
Cafe Beverages,2021-01-26 6:00:00,561.62
Cafe Beverages,2021-01-26 7:00:00,121.14
Cafe Beverages,2021-01-26 8:00:00,349.22
Cafe Beverages,2021-01-26 9:00:00,1422.43
Cafe Beverages,2021-01-26 10:00:00,3950.21
Cafe Beverages,2021-01-26 11:00:00,6971.93
Cafe Beverages,2021-01-26 12:00:00,9509.05
Cafe Beverages,2021-01-26 13:00:00,13842.89
